StockCode,Description,Total_Quantity_Sold,Total_Revenue,Number_of_Orders,Unique_Customers
23243,SET OF TEA COFFEE SUGAR TINS PANTRY,4658,22109.08,385,275
22326,ROUND SNACK BOXES SET OF4 WOODLAND ,8075,22101.77,595,281
21931,JUMBO STORAGE BAG SUKI,11513,21784.84,774,333
48185,DOORMAT FAIRY CAKE,3427,21171.79,241,143
22961,JAM MAKING SET PRINTED,15039,21147.55,868,537
21621,VINTAGE UNION JACK BUNTING,2538,20945.16,391,267
23202,JUMBO BAG VINTAGE LEAF,10695,20921.55,772,377
22726,ALARM CLOCK BAKELIKE GREEN,5630,20839.15,789,322
22666,RECIPE BOX PANTRY YELLOW DESIGN,7366,20838.62,828,471
15056N,EDWARDIAN PARASOL NATURAL,3822,20672.91,378,184
23203,JUMBO BAG VINTAGE DOILY ,10620,20641.4,621,363
22722,SET OF 6 SPICE TINS PANTRY DESIGN,5360,20482.6,653,393
85066,CREAM SWEETHEART MINI CHEST,1696,20448.17,445,289
22139,RETROSPOT TEA SET CERAMIC 11 PC ,4239,20426.23,823,488
21166,COOK WITH WINE METAL SIGN ,10169,20232.13,602,287
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,10490,20116.38,790,375
22630,DOLLY GIRL LUNCH BOX,11323,20104.09,616,287
22111,SCOTTIE DOG HOT WATER BOTTLE,4248,20049.9,656,425
82482,WOODEN PICTURE FRAME WHITE FINISH,8256,19945.45,876,410
48194,DOORMAT HEARTS,3268,19924.66,480,286
21731,RED TOADSTOOL LED NIGHT LIGHT,12863,19831.71,522,266
22659,LUNCH BOX I LOVE LONDON,11075,19316.17,504,213
21523,DOORMAT FANCY FONT HOME SWEET HOME,3087,19149.07,397,203
20713,JUMBO BAG OWLS,10451,19047.02,411,207
22090,PAPER BUNTING RETROSPOT,6877,18785.99,567,325
22728,ALARM CLOCK BAKELIKE PINK,5066,18539.09,613,291
21929,JUMBO BAG PINK VINTAGE PAISLEY,9888,18427.9,602,308
23206,LUNCH BAG APPLE DESIGN,11530,18220.5,866,401
20727,LUNCH BAG  BLACK SKULL.,11246,17950.3,1052,458
21843,RED RETROSPOT CAKE STAND,1808,17918.8,421,260
22697,GREEN REGENCY TEACUP AND SAUCER,6406,17735.54,691,387
23344,JUMBO BAG 50'S CHRISTMAS ,8933,17636.04,586,391
82494L,WOODEN FRAME ANTIQUE WHITE ,6268,17583.77,811,392
22328,ROUND SNACK BOXES SET OF 4 FRUITS ,6469,17569.59,458,227
84347,ROTATING SILVER ANGELS T-LIGHT HLDR,7892,17554.27,305,192
22969,HOMEMADE JAM SCENTED CANDLES,12080,17504.2,518,429
22467,GUMBALL COAT RACK,7652,17488.55,570,262
21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,10070,17291.57,192,160
22693,GROW A FLYTRAP OR SUNFLOWER IN TIN,15940,17226.2,239,167
20728,LUNCH BAG CARS BLUE,10789,17214.53,966,479
23203,JUMBO BAG DOILEY PATTERNS,8735,16737.1,454,299
71477,COLOUR GLASS. STAR T-LIGHT HOLDER,5654,16566.34,221,145
20914,SET/5 RED RETROSPOT LID GLASS BOWLS,5871,16537.13,763,356
21212,PACK OF 72 RETROSPOT CAKE CASES,33670,16381.88,1029,635
22384,LUNCH BAG PINK POLKADOT,10226,16303.3,931,444
22865,HAND WARMER OWL DESIGN,8056,16113.73,572,375
15036,ASSORTED COLOURS SILK FAN,21876,16044.44,324,194
22492,MINI PAINT SET VINTAGE ,26076,16039.24,325,213
21485,RETROSPOT HEART HOT WATER BOTTLE,3326,15827.18,533,371
22382,LUNCH BAG SPACEBOY DESIGN ,9875,15820.15,988,490
20712,JUMBO BAG WOODLAND ANIMALS,8187,15511.6,492,248
21754,HOME BUILDING BLOCK WORD,2633,15504.51,691,360
85152,HAND OVER THE CHOCOLATE   SIGN ,8138,15484.51,590,270
22114,HOT WATER BOTTLE TEA AND SYMPATHY,3729,15386.07,514,325
22383,LUNCH BAG SUKI DESIGN ,9570,15332.9,899,399
22385,JUMBO BAG SPACEBOY DESIGN,8231,15320.75,477,247
15056BL,EDWARDIAN PARASOL BLACK,2779,15218.67,291,142
84946,ANTIQUE SILVER T-LIGHT GLASS,12949,15176.42,534,348
22077,6 RIBBONS RUSTIC CHARM,8594,14969.84,726,413
22698,PINK REGENCY TEACUP AND SAUCER,5307,14663.29,556,319
22624,IVORY KITCHEN SCALES,1765,14638.73,620,376
21928,JUMBO BAG SCANDINAVIAN BLUE PAISLEY,7754,14626.73,451,232
82483,WOOD 2 DRAWER CABINET WHITE FINISH,2324,14573.72,509,241
20726,LUNCH BAG WOODLAND,9091,14497.51,820,372
22993,SET OF 4 PANTRY JELLY MOULDS,11769,14151.42,866,431
22197,SMALL POPCORN HOLDER,18241,13789.37,403,228
84997D,CHILDRENS CUTLERY POLKADOT PINK,3528,13788.3,323,208
22835,HOT WATER BOTTLE I AM SO POORLY,2939,13685.13,505,316
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,54319,13558.41,472,307
48184,DOORMAT ENGLISH ROSE ,1972,13447.1,356,227
22084,PAPER CHAIN KIT EMPIRE,4885,13411.55,374,277
84029E,RED WOOLLY HOTTIE WHITE HEART.,3676,13311.26,321,228
22847,BREAD BIN DINER STYLE IVORY,847,13131.89,341,214
22622,BOX OF VINTAGE ALPHABET BLOCKS,1295,13035.66,231,174
23200,JUMBO BAG PEARS,6729,13034.92,470,262
84078A,SET/4 WHITE RETRO STORAGE CUBES ,357,13007.15,106,79
23108,SET OF 10 LED DOLLY LIGHTS,2192,12972.73,351,271
23313,VINTAGE CHRISTMAS BUNTING,2748,12960.12,359,254
23356,LOVE HOT WATER BOTTLE,2325,12954.75,449,316
82583,HOT BATHS METAL SIGN,6367,12731.34,385,206
84978,HANGING HEART JAR T-LIGHT HOLDER,10961,12650.97,572,304
22752,SET 7 BABUSHKA NESTING BOXES,1651,12639.79,297,188
22558,CLOTHES PEGS RETROSPOT PACK 24 ,8405,12525.21,639,363
23301,GARDENERS KNEELING PAD KEEP CALM ,7722,12463.78,756,405
22507,MEMO BOARD RETROSPOT  DESIGN,2786,12411.02,348,230
22188,BLACK HEART CARD HOLDER,4843,12257.95,166,123
20750,RED RETROSPOT MINI CASES,1711,12208.85,365,235
22866,HAND WARMER SCOTTY DOG DESIGN,6097,12204.66,471,329
22171,3 HOOK PHOTO SHELF ANTIQUE WHITE,1706,12160.08,304,172
22113,GREY HEART HOT WATER BOTTLE,3145,12148.9,511,337
22551,PLASTERS IN TIN SPACEBOY,7656,12138.6,579,339
22941,CHRISTMAS LIGHTS 10 REINDEER,1570,12133.0,253,205
20749,ASSORTED COLOUR MINI CASES,1717,12107.51,365,239
22867,HAND WARMER BIRD DESIGN,5993,12064.63,474,333
21524,DOORMAT SPOTTY HOME SWEET HOME,1657,12055.32,405,251
23207,LUNCH BAG ALPHABET DESIGN,7533,11994.41,647,377
22083,PAPER CHAIN KIT RETROSPOT,4265,11935.31,444,294
22379,RECYCLING BAG RETROSPOT ,6074,11913.03,407,187
DOT,DOTCOM POSTAGE,16,11906.36,16,1
22625,RED KITCHEN SCALES,1469,11836.23,448,292
22568,FELTCRAFT CUSHION OWL,3277,11756.8,417,244
22273,FELTCRAFT DOLL MOLLY,4464,11748.24,293,211
