InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,TotalAmount,Year,Month,Day,DayOfWeek,DayName,Hour,DaysSinceLatest
566571,23298,SPOTTY BUNTING,6,2023-09-13 12:49:00,4.95,17037,United Kingdom,29.700000000000003,2023,9,13,2,Wednesday,12,87
566891,85049A,TRADITIONAL CHRISTMAS RIBBONS,12,2023-09-15 13:51:00,1.25,14894,United Kingdom,15.0,2023,9,15,4,Friday,13,84
539653,84692,BOX OF 24 COCKTAIL PARASOLS,10,2022-12-20 16:50:00,0.42,13564,United Kingdom,4.2,2022,12,20,1,Tuesday,16,353
576593,22587,FELTCRAFT HAIRBAND RED AND BLUE,1,2023-11-15 14:48:00,0.85,15720,United Kingdom,0.85,2023,11,15,2,Wednesday,14,23
555383,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,3,2023-06-02 15:13:00,2.95,12517,Germany,8.850000000000001,2023,6,2,4,Friday,15,189
574740,22191,IVORY DINER WALL CLOCK,6,2023-11-06 16:07:00,8.5,12357,Switzerland,51.0,2023,11,6,0,Monday,16,32
570225,35933,PINK STOCKING CHRISTMAS DECORATION,2,2023-10-09 13:15:00,0.38,16595,United Kingdom,0.76,2023,10,9,0,Monday,13,60
545340,84997A,CHILDRENS CUTLERY POLKADOT GREEN ,4,2023-03-02 08:41:00,4.15,15416,United Kingdom,16.6,2023,3,2,3,Thursday,8,282
542646,21466,RED FLOWER CROCHET FOOD COVER,1,2023-01-31 11:42:00,3.75,17220,United Kingdom,3.75,2023,1,31,1,Tuesday,11,312
537350,20975,12 PENCILS SMALL TUBE RED RETROSPOT,24,2022-12-06 12:23:00,0.65,14708,United Kingdom,15.6,2022,12,6,1,Tuesday,12,368
573564,22074,6 RIBBONS SHIMMERING PINKS ,12,2023-10-31 13:58:00,1.65,16127,United Kingdom,19.8,2023,10,31,1,Tuesday,13,38
551560,23073,GEORGIAN TRINKET BOX,12,2023-05-03 10:43:00,11.15,16133,United Kingdom,133.8,2023,5,3,2,Wednesday,10,220
575965,22909,SET OF 20 VINTAGE CHRISTMAS NAPKINS,12,2023-11-13 12:32:00,0.85,13426,United Kingdom,10.2,2023,11,13,0,Monday,12,26
558370,22996,TRAVEL CARD WALLET VINTAGE TICKET,24,2023-06-28 15:44:00,0.42,17750,United Kingdom,10.08,2023,6,28,2,Wednesday,15,163
549291,22967,SET 3 SONG BIRD PAPER EGGS ASSORTED,1,2023-04-07 19:05:00,2.95,16261,United Kingdom,2.95,2023,4,7,4,Friday,19,245
581191,90200E,GREEN SWEETHEART BRACELET,3,2023-12-07 16:56:00,4.25,17449,United Kingdom,12.75,2023,12,7,3,Thursday,16,1
538879,22759,SET OF 3 NOTEBOOKS IN PARCEL,24,2022-12-14 15:50:00,1.65,15392,United Kingdom,39.6,2022,12,14,2,Wednesday,15,359
547520,20750,RED RETROSPOT MINI CASES,2,2023-03-23 14:55:00,7.95,12564,France,15.9,2023,3,23,3,Thursday,14,260
536945,85227,SET OF 6 3D KIT CARDS FOR KIDS,2,2022-12-03 12:24:00,0.85,14083,United Kingdom,1.7,2022,12,3,5,Saturday,12,371
548718,21169,YOU'RE CONFUSING ME METAL SIGN ,144,2023-04-04 08:50:00,1.45,14156,EIRE,208.8,2023,4,4,1,Tuesday,8,249
536559,51014L,"FEATHER PEN,LIGHT PINK",12,2022-12-01 14:54:00,0.85,17873,United Kingdom,10.2,2022,12,1,3,Thursday,14,372
541265,35922,EASTER BUNNY WREATH,1,2023-01-16 16:23:00,4.95,17609,United Kingdom,4.95,2023,1,16,0,Monday,16,326
537690,22708,WRAP DOLLY GIRL,25,2022-12-08 10:38:00,0.42,13983,United Kingdom,10.5,2022,12,8,3,Thursday,10,366
553673,22925,BLUE GIANT GARDEN THERMOMETER,2,2023-05-18 12:46:00,5.95,16814,United Kingdom,11.9,2023,5,18,3,Thursday,12,205
571039,21704,BAG 250g SWIRLY MARBLES,3,2023-10-13 12:59:00,0.85,16121,United Kingdom,2.55,2023,10,13,4,Friday,12,56
568538,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,60,2023-09-27 14:07:00,2.95,15061,United Kingdom,177.0,2023,9,27,2,Wednesday,14,72
540471,21670,BLUE SPOT CERAMIC DRAWER KNOB,12,2023-01-07 14:21:00,1.25,15601,United Kingdom,15.0,2023,1,7,5,Saturday,14,335
541038,22282,12 EGG HOUSE PAINTED WOOD,1,2023-01-13 12:10:00,12.75,16395,United Kingdom,12.75,2023,1,13,4,Friday,12,330
542345,22079,RIBBON REEL HEARTS DESIGN ,1,2023-01-27 11:55:00,1.65,15910,United Kingdom,1.65,2023,1,27,4,Friday,11,316
540098,21977,PACK OF 60 PINK PAISLEY CAKE CASES,1,2023-01-04 15:50:00,0.55,16241,United Kingdom,0.55,2023,1,4,2,Wednesday,15,338
567375,22969,HOMEMADE JAM SCENTED CANDLES,12,2023-09-20 09:45:00,1.45,14766,United Kingdom,17.4,2023,9,20,2,Wednesday,9,80
577404,84029E,RED WOOLLY HOTTIE WHITE HEART.,4,2023-11-20 10:16:00,4.25,17243,United Kingdom,17.0,2023,11,20,0,Monday,10,19
560688,23309,SET OF 60 I LOVE LONDON CAKE CASES ,11,2023-07-20 11:54:00,0.55,16393,United Kingdom,6.050000000000001,2023,7,20,3,Thursday,11,142
573150,84380,SET OF 3 BUTTERFLY COOKIE CUTTERS,3,2023-10-27 20:07:00,1.45,15014,United Kingdom,4.35,2023,10,27,4,Friday,20,42
569524,22796,PHOTO FRAME 3 CLASSIC HANGING,1,2023-10-04 14:42:00,9.95,14506,United Kingdom,9.95,2023,10,4,2,Wednesday,14,65
578815,23407,SET OF 2 TRAYS HOME SWEET HOME,2,2023-11-25 13:42:00,9.95,13860,United Kingdom,19.9,2023,11,25,5,Saturday,13,13
560398,21915,RED  HARMONICA IN BOX ,24,2023-07-18 14:10:00,1.25,12731,France,30.0,2023,7,18,1,Tuesday,14,143
540268,22704,WRAP RED APPLES ,25,2023-01-06 11:25:00,0.42,13458,United Kingdom,10.5,2023,1,6,4,Friday,11,337
537204,21817,GLITTER CHRISTMAS TREE,6,2022-12-05 14:45:00,0.85,15555,United Kingdom,5.1,2022,12,5,0,Monday,14,368
565648,22812,PACK 3 BOXES CHRISTMAS PANNETONE,3,2023-09-05 16:22:00,1.95,18196,United Kingdom,5.85,2023,9,5,1,Tuesday,16,94
577010,22734,SET OF 6 RIBBONS VINTAGE CHRISTMAS,5,2023-11-17 12:11:00,2.89,15506,United Kingdom,14.45,2023,11,17,4,Friday,12,22
569521,22950,36 DOILIES VINTAGE CHRISTMAS,1,2023-10-04 14:33:00,1.45,16474,United Kingdom,1.45,2023,10,4,2,Wednesday,14,65
563540,22551,PLASTERS IN TIN SPACEBOY,12,2023-08-17 12:04:00,1.65,12473,Germany,19.8,2023,8,17,3,Thursday,12,114
541838,22776,SWEETHEART CAKESTAND 3 TIER,3,2023-01-23 10:43:00,9.95,12916,United Kingdom,29.85,2023,1,23,0,Monday,10,320
537886,22960,JAM MAKING SET WITH JARS,12,2022-12-09 09:49:00,3.75,15660,United Kingdom,45.0,2022,12,9,4,Friday,9,365
563565,21918,SET 12 KIDS COLOUR  CHALK STICKS,4,2023-08-17 14:22:00,0.42,17338,United Kingdom,1.68,2023,8,17,3,Thursday,14,113
563349,23203,JUMBO BAG VINTAGE DOILY ,5,2023-08-15 13:51:00,2.08,14623,United Kingdom,10.4,2023,8,15,1,Tuesday,13,115
575747,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,6,2023-11-11 10:19:00,2.95,12589,France,17.700000000000003,2023,11,11,5,Saturday,10,28
537224,22829,SWEETHEART WIRE WALL TIDY,2,2022-12-05 16:24:00,9.95,13174,United Kingdom,19.9,2022,12,5,0,Monday,16,368
569012,20974,12 PENCILS SMALL TUBE SKULL,24,2023-09-30 08:18:00,0.65,15187,United Kingdom,15.6,2023,9,30,5,Saturday,8,70
580679,22917,HERB MARKER ROSEMARY,12,2023-12-05 14:49:00,0.65,18198,United Kingdom,7.800000000000001,2023,12,5,1,Tuesday,14,3
566737,84665,SQUARE CHERRY BLOSSOM CABINET,4,2023-09-14 14:26:00,5.95,13430,United Kingdom,23.8,2023,9,14,3,Thursday,14,85
566563,22759,SET OF 3 NOTEBOOKS IN PARCEL,12,2023-09-13 12:22:00,1.65,12909,United Kingdom,19.8,2023,9,13,2,Wednesday,12,87
544943,22120,WELCOME  WOODEN BLOCK LETTERS,6,2023-02-25 10:39:00,9.95,15845,United Kingdom,59.7,2023,2,25,5,Saturday,10,287
573384,82486,3 DRAWER ANTIQUE WHITE WOOD CABINET,2,2023-10-30 14:19:00,8.95,15478,United Kingdom,17.9,2023,10,30,0,Monday,14,39
572933,22573,STAR WOODEN CHRISTMAS DECORATION,12,2023-10-27 10:15:00,0.85,13458,United Kingdom,10.2,2023,10,27,4,Friday,10,43
538638,21985,PACK OF 12 HEARTS DESIGN TISSUES ,2,2022-12-13 14:16:00,0.29,17231,United Kingdom,0.58,2022,12,13,1,Tuesday,14,360
565732,23203,JUMBO BAG VINTAGE DOILY ,10,2023-09-06 12:10:00,2.08,17068,United Kingdom,20.8,2023,9,6,2,Wednesday,12,94
565326,21636,MADRAS NOTEBOOK MEDIUM,2,2023-09-02 13:41:00,0.75,16706,United Kingdom,1.5,2023,9,2,5,Saturday,13,97
544659,22842,BISCUIT TIN VINTAGE RED,1,2023-02-22 13:20:00,6.75,18114,United Kingdom,6.75,2023,2,22,2,Wednesday,13,289
548003,22362,GLASS JAR PEACOCK BATH SALTS,6,2023-03-29 10:39:00,2.95,18044,United Kingdom,17.700000000000003,2023,3,29,2,Wednesday,10,255
545234,22768,FAMILY PHOTO FRAME CORNICE,2,2023-03-01 10:26:00,9.95,18075,United Kingdom,19.9,2023,3,1,2,Wednesday,10,283
580531,21232,STRAWBERRY CERAMIC TRINKET POT,24,2023-12-04 15:47:00,1.25,12569,Germany,30.0,2023,12,4,0,Monday,15,4
562968,22466,FAIRY TALE COTTAGE NIGHTLIGHT,12,2023-08-11 10:55:00,1.95,14291,United Kingdom,23.4,2023,8,11,4,Friday,10,120
559125,23255,CHILDRENS CUTLERY CIRCUS PARADE,4,2023-07-06 12:32:00,4.15,13985,United Kingdom,16.6,2023,7,6,3,Thursday,12,156
580727,21872,GLAMOROUS  MUG,1,2023-12-05 17:17:00,3.29,14096,United Kingdom,3.29,2023,12,5,1,Tuesday,17,3
554283,22377,BOTTLE BAG RETROSPOT ,5,2023-05-23 14:11:00,2.1,17686,United Kingdom,10.5,2023,5,23,1,Tuesday,14,199
548874,21673,WHITE SPOT BLUE CERAMIC DRAWER KNOB,12,2023-04-04 15:18:00,1.25,17716,United Kingdom,15.0,2023,4,4,1,Tuesday,15,248
570601,22963,JAM JAR WITH GREEN LID,24,2023-10-11 12:08:00,0.85,17620,United Kingdom,20.4,2023,10,11,2,Wednesday,12,59
559536,22375,AIRLINE BAG VINTAGE JET SET BROWN,1,2023-07-10 12:17:00,4.25,16283,United Kingdom,4.25,2023,7,10,0,Monday,12,152
563565,23168,CLASSIC CAFE SUGAR DISPENSER,3,2023-08-17 14:22:00,1.25,17338,United Kingdom,3.75,2023,8,17,3,Thursday,14,113
541277,20974,12 PENCILS SMALL TUBE SKULL,10,2023-01-17 11:46:00,0.65,12673,Germany,6.5,2023,1,17,1,Tuesday,11,326
557805,21930,JUMBO STORAGE BAG SKULLS,10,2023-06-23 10:27:00,2.08,17651,United Kingdom,20.8,2023,6,23,4,Friday,10,169
575607,23300,GARDENERS KNEELING PAD CUP OF TEA ,5,2023-11-10 12:37:00,3.29,14096,United Kingdom,16.45,2023,11,10,4,Friday,12,29
565317,23240,SET OF 4 KNICK KNACK TINS DOILY ,12,2023-09-02 13:00:00,4.15,12921,United Kingdom,49.8,2023,9,2,5,Saturday,13,97
552779,21155,RED RETROSPOT PEG BAG,6,2023-05-11 12:13:00,2.55,13013,United Kingdom,15.3,2023,5,11,3,Thursday,12,212
580385,22632,HAND WARMER RED RETROSPOT,3,2023-12-04 10:11:00,2.1,16326,United Kingdom,6.300000000000001,2023,12,4,0,Monday,10,5
543836,22986,GINGHAM ROSE WRAP,25,2023-02-14 10:52:00,0.42,15236,United Kingdom,10.5,2023,2,14,1,Tuesday,10,298
562046,22943,CHRISTMAS LIGHTS 10 VINTAGE BAUBLES,3,2023-08-02 10:34:00,4.95,12378,Switzerland,14.85,2023,8,2,2,Wednesday,10,129
564059,21908,CHOCOLATE THIS WAY METAL SIGN,12,2023-08-22 14:35:00,2.1,15796,United Kingdom,25.200000000000003,2023,8,22,1,Tuesday,14,108
568188,22502,PICNIC BASKET WICKER SMALL,1,2023-09-25 14:33:00,2.0,16049,United Kingdom,2.0,2023,9,25,0,Monday,14,74
571435,22734,SET OF 6 RIBBONS VINTAGE CHRISTMAS,6,2023-10-17 13:23:00,2.89,14211,United Kingdom,17.34,2023,10,17,1,Tuesday,13,52
558707,23120,PACK OF 6 SMALL FRUIT STRAWS,2,2023-07-01 12:58:00,0.42,12748,United Kingdom,0.84,2023,7,1,5,Saturday,12,160
541855,85062,PEARL CRYSTAL PUMPKIN T-LIGHT HLDR,2,2023-01-23 14:59:00,1.65,13742,United Kingdom,3.3,2023,1,23,0,Monday,14,319
563178,23031,DRAWER KNOB CRACKLE GLAZE PINK,6,2023-08-12 14:12:00,1.65,16011,United Kingdom,9.9,2023,8,12,5,Saturday,14,118
569110,21669,BLUE STRIPE CERAMIC DRAWER KNOB,12,2023-09-30 12:44:00,1.45,17675,United Kingdom,17.4,2023,9,30,5,Saturday,12,70
577695,21802,CHRISTMAS TREE HEART DECORATION,1,2023-11-21 11:55:00,0.42,15645,United Kingdom,0.42,2023,11,21,1,Tuesday,11,18
552460,22385,JUMBO BAG SPACEBOY DESIGN,10,2023-05-09 14:44:00,2.08,13178,United Kingdom,20.8,2023,5,9,1,Tuesday,14,213
546248,20725,LUNCH BAG RED RETROSPOT,10,2023-03-10 13:46:00,1.65,16477,United Kingdom,16.5,2023,3,10,4,Friday,13,273
555719,POST,POSTAGE,5,2023-06-06 15:31:00,18.0,12609,Germany,90.0,2023,6,6,1,Tuesday,15,185
536851,22333,RETROSPOT PARTY BAG + STICKER SET,32,2022-12-03 09:49:00,1.65,12967,United Kingdom,52.8,2022,12,3,5,Saturday,9,371
538311,22383,LUNCH BAG SUKI  DESIGN ,10,2022-12-10 13:48:00,1.65,12785,Portugal,16.5,2022,12,10,5,Saturday,13,363
540248,22495,SET OF 2 ROUND TINS CAMEMBERT ,2,2023-01-05 15:57:00,2.95,15034,United Kingdom,5.9,2023,1,5,3,Thursday,15,337
553044,22554,PLASTERS IN TIN WOODLAND ANIMALS,12,2023-05-13 09:24:00,1.65,12682,France,19.8,2023,5,13,5,Saturday,9,210
580436,23480,MINI LIGHTS WOODLAND MUSHROOMS,20,2023-12-04 12:17:00,3.75,13318,United Kingdom,75.0,2023,12,4,0,Monday,12,5
555947,23004,TRAVEL CARD WALLET PANTRY,24,2023-06-08 10:45:00,0.42,14911,EIRE,10.08,2023,6,8,3,Thursday,10,184
536861,21328,BALLOONS  WRITING SET ,12,2022-12-03 10:44:00,1.65,12427,Germany,19.8,2022,12,3,5,Saturday,10,371
571315,23093,SMALL PARISIENNE HEART PHOTO FRAME ,8,2023-10-17 10:47:00,2.49,16542,United Kingdom,19.92,2023,10,17,1,Tuesday,10,53
537034,22431,WATERING CAN BLUE ELEPHANT,24,2022-12-03 17:20:00,1.95,13081,United Kingdom,46.8,2022,12,3,5,Saturday,17,370
547872,22352,LUNCH BOX WITH CUTLERY RETROSPOT ,1,2023-03-27 14:34:00,2.55,16777,United Kingdom,2.55,2023,3,27,0,Monday,14,256
568241,75049L,LARGE CIRCULAR MIRROR MOBILE,96,2023-09-26 12:10:00,0.85,15218,United Kingdom,81.6,2023,9,26,1,Tuesday,12,74
538638,84849B,FAIRY SOAP SOAP HOLDER,1,2022-12-13 14:16:00,1.69,17231,United Kingdom,1.69,2022,12,13,1,Tuesday,14,360
542090,20972,PINK CREAM FELT CRAFT TRINKET BOX ,6,2023-01-25 12:39:00,1.25,15518,United Kingdom,7.5,2023,1,25,2,Wednesday,12,318
541115,22519,CHILDS GARDEN BRUSH PINK,6,2023-01-13 15:34:00,2.1,12578,Italy,12.6,2023,1,13,4,Friday,15,329
571883,22577,WOODEN HEART CHRISTMAS SCANDINAVIAN,20,2023-10-19 13:58:00,0.29,14704,United Kingdom,5.8,2023,10,19,3,Thursday,13,50
575077,23439,HAND WARMER RED LOVE HEART,12,2023-11-08 13:22:00,2.1,15406,United Kingdom,25.200000000000003,2023,11,8,2,Wednesday,13,30
558910,22301,COFFEE MUG CAT + BIRD DESIGN,72,2023-07-05 09:16:00,2.1,12989,United Kingdom,151.20000000000002,2023,7,5,2,Wednesday,9,157
546846,22966,GINGERBREAD MAN COOKIE CUTTER,1,2023-03-17 12:47:00,1.25,13533,United Kingdom,1.25,2023,3,17,4,Friday,12,267
570115,21231,SWEETHEART CERAMIC TRINKET BOX,72,2023-10-07 12:37:00,1.06,13798,United Kingdom,76.32000000000001,2023,10,7,5,Saturday,12,63
573993,23198,PANTRY MAGNETIC  SHOPPING LIST,12,2023-11-02 11:23:00,1.45,16790,United Kingdom,17.4,2023,11,2,3,Thursday,11,37
564053,23203,JUMBO BAG VINTAGE DOILY ,20,2023-08-22 13:42:00,2.08,14188,United Kingdom,41.6,2023,8,22,1,Tuesday,13,108
551533,20675,BLUE POLKADOT BOWL,2,2023-05-01 14:58:00,1.25,15407,United Kingdom,2.5,2023,5,1,0,Monday,14,221
579167,22894,TABLECLOTH RED APPLES DESIGN ,2,2023-11-28 14:06:00,9.95,16800,United Kingdom,19.9,2023,11,28,1,Tuesday,14,10
541797,21715,GIRLS VINTAGE TIN SEASIDE BUCKET,1,2023-01-21 14:04:00,2.55,12970,United Kingdom,2.55,2023,1,21,5,Saturday,14,321
563213,23295,SET OF 12 MINI LOAF BAKING CASES,6,2023-08-14 12:55:00,0.83,16115,United Kingdom,4.98,2023,8,14,0,Monday,12,116
568204,23370,SET 36 COLOURING PENCILS DOILY,16,2023-09-25 15:25:00,1.25,13670,United Kingdom,20.0,2023,9,25,0,Monday,15,74
568082,21485,RETROSPOT HEART HOT WATER BOTTLE,24,2023-09-23 14:38:00,4.25,14944,United Kingdom,102.0,2023,9,23,5,Saturday,14,76
