Orders,Total_Spend,Avg_Order_Value,Total_Items,First_Purchase,Last_Purchase,Unique_Products,Customer_Lifetime_Days,Recency_Days,Customer_Type
1,376.72,4.77,256,2023-11-15 17:26:00,2023-11-15 17:26:00,78,0,23,Regular
2,1998.0,399.6,840,2023-03-31 13:33:00,2023-04-27 10:52:00,4,26,226,At Risk
2,714.96,55.0,1312,2023-10-10 12:30:00,2023-11-07 17:50:00,10,28,31,Regular
1,623.5,22.27,366,2023-04-13 15:57:00,2023-04-13 15:57:00,28,0,239,At Risk
5,1674.69,20.42,1399,2023-08-03 10:45:00,2023-09-27 13:04:00,67,55,72,Regular
9,1002.9,5.67,705,2022-12-03 12:24:00,2023-12-05 13:14:00,162,367,3,Frequent
1,372.7,19.62,136,2023-11-03 16:15:00,2023-11-03 16:15:00,19,0,35,Regular
2,777.53,15.87,209,2023-07-22 17:21:00,2023-09-16 14:45:00,49,55,83,Regular
2,333.48,16.67,162,2023-11-06 12:16:00,2023-11-11 09:46:00,19,4,28,Regular
1,349.1,43.64,193,2023-06-03 14:44:00,2023-06-03 14:44:00,8,0,188,At Risk
4,1116.68,5.37,1650,2023-01-05 15:09:00,2023-08-22 13:30:00,176,228,108,Regular
1,201.16,7.18,129,2023-01-17 16:14:00,2023-01-17 16:14:00,27,0,325,At Risk
4,720.86,5.91,313,2023-06-30 16:39:00,2023-11-16 10:55:00,89,138,23,Regular
10,6761.34,18.89,2452,2022-12-05 10:52:00,2023-12-02 14:25:00,223,362,6,VIP
5,3099.72,29.24,1682,2023-01-25 10:49:00,2023-10-06 16:54:00,88,254,63,High Value
1,743.53,14.58,604,2023-09-29 13:17:00,2023-09-29 13:17:00,51,0,70,Regular
2,580.05,27.62,419,2023-01-11 12:37:00,2023-01-31 12:50:00,20,20,312,At Risk
4,519.69,6.26,341,2023-05-27 12:26:00,2023-11-24 15:03:00,70,181,14,Regular
10,3466.28,31.8,905,2023-03-03 18:28:00,2023-11-29 12:27:00,67,270,10,VIP
4,1839.3,31.17,594,2023-11-02 10:51:00,2023-12-06 14:56:00,47,34,2,Regular
1,345.0,15.68,192,2023-09-19 12:06:00,2023-09-19 12:06:00,22,0,81,Regular
4,1504.27,12.54,1007,2023-03-17 14:19:00,2023-11-24 15:05:00,81,252,14,Regular
1,134.46,5.17,94,2023-11-06 13:17:00,2023-11-06 13:17:00,26,0,32,Regular
2,797.71,15.05,678,2023-04-11 13:02:00,2023-09-21 10:47:00,50,162,79,Regular
3,2128.42,15.1,1369,2023-06-13 08:44:00,2023-10-11 11:43:00,125,120,59,High Value
4,859.71,6.99,353,2022-12-12 11:26:00,2023-11-27 12:47:00,86,350,12,Regular
3,422.47,9.39,185,2022-12-08 15:12:00,2023-08-23 15:33:00,40,258,107,Regular
6,1449.32,14.49,827,2022-12-05 16:00:00,2023-11-06 12:30:00,70,335,33,Frequent
1,138.68,13.87,66,2023-03-20 12:06:00,2023-03-20 12:06:00,10,0,264,At Risk
2,605.06,16.81,350,2023-04-15 11:44:00,2023-08-17 11:37:00,32,123,114,Regular
4,1353.74,23.34,671,2023-05-19 14:42:00,2023-11-27 11:18:00,47,191,12,Regular
4,1344.78,16.2,776,2023-04-12 12:47:00,2023-10-17 13:44:00,65,188,52,Regular
1,242.35,17.31,104,2023-09-20 10:18:00,2023-09-20 10:18:00,14,0,80,Regular
3,656.69,36.48,347,2023-09-28 11:48:00,2023-11-24 11:41:00,12,56,15,Regular
5,1072.36,20.23,486,2023-02-25 11:32:00,2023-11-30 14:09:00,41,278,8,Regular
5,2092.66,23.25,1740,2023-03-11 09:54:00,2023-10-17 15:02:00,66,220,52,High Value
5,2607.61,20.53,1328,2023-05-11 12:47:00,2023-10-14 13:41:00,94,156,55,High Value
3,817.86,16.04,628,2023-03-30 15:38:00,2023-08-17 10:46:00,37,139,114,Regular
4,916.98,4.47,594,2023-09-14 14:19:00,2023-11-04 14:35:00,126,51,34,Regular
4,752.77,4.59,522,2022-12-16 11:53:00,2023-10-19 12:11:00,120,307,51,Regular
1,346.98,31.54,343,2023-06-01 15:12:00,2023-06-01 15:12:00,11,0,190,At Risk
2,716.35,21.07,219,2023-06-06 12:47:00,2023-09-09 08:48:00,28,94,91,Regular
2,483.8,21.99,174,2022-12-08 15:03:00,2023-05-18 16:56:00,17,161,204,At Risk
7,1582.8,10.48,797,2023-02-07 14:16:00,2023-11-11 14:22:00,125,277,27,Frequent
10,4020.04,223.34,9323,2023-02-10 09:29:00,2023-10-21 13:27:00,6,253,48,VIP
13,5855.57,10.11,2996,2022-12-14 13:31:00,2023-12-08 14:38:00,283,359,0,VIP
7,1341.6,32.72,1776,2023-03-25 14:46:00,2023-12-07 10:09:00,8,256,2,Frequent
5,1987.33,9.24,1240,2022-12-10 10:18:00,2023-12-04 15:00:00,190,359,4,Regular
2,271.19,2.44,251,2023-11-24 14:09:00,2023-12-05 12:46:00,100,10,4,Regular
1,216.07,6.36,92,2023-01-17 16:14:00,2023-01-17 16:14:00,30,0,325,At Risk
5,2647.59,27.58,1363,2023-01-21 11:55:00,2023-11-08 13:52:00,79,291,30,High Value
1,56.4,18.8,72,2023-03-30 10:50:00,2023-03-30 10:50:00,3,0,254,At Risk
2,869.77,6.13,497,2023-11-14 13:42:00,2023-12-01 19:54:00,113,17,7,Regular
7,2213.13,11.65,2035,2022-12-16 12:15:00,2023-11-10 13:13:00,89,329,28,VIP
2,551.04,20.41,672,2022-12-06 10:20:00,2023-09-26 13:35:00,19,294,73,Regular
12,5049.95,20.87,2751,2022-12-06 12:21:00,2023-10-20 09:57:00,167,317,50,VIP
3,379.35,21.08,111,2023-02-03 15:28:00,2023-09-08 10:43:00,18,216,92,Regular
4,650.43,11.41,264,2023-09-22 13:15:00,2023-11-28 10:02:00,47,66,11,Regular
4,783.97,6.27,670,2023-01-27 18:05:00,2023-10-14 15:46:00,91,259,55,Regular
1,103.3,17.22,74,2023-09-11 13:16:00,2023-09-11 13:16:00,6,0,88,Regular
4,1031.41,19.46,445,2023-01-11 15:00:00,2023-12-04 16:02:00,47,327,4,Regular
4,2232.49,28.62,1017,2023-05-10 11:20:00,2023-09-28 13:43:00,72,141,71,High Value
2,497.56,18.43,229,2023-11-01 12:06:00,2023-12-02 12:08:00,21,31,7,Regular
2,513.7,19.76,172,2023-04-07 13:32:00,2023-06-19 10:53:00,21,72,173,Regular
11,4462.68,10.99,2692,2023-01-12 16:57:00,2023-12-09 09:00:00,288,330,0,VIP
1,206.98,12.18,128,2023-01-24 12:00:00,2023-01-24 12:00:00,17,0,319,At Risk
3,903.9,18.83,430,2023-09-23 14:43:00,2023-10-20 14:10:00,48,26,49,Regular
3,6748.8,1687.2,2016,2023-01-05 12:37:00,2023-11-22 11:08:00,2,320,17,High Value
1,1043.1,74.51,1236,2023-09-19 12:29:00,2023-09-19 12:29:00,14,0,81,Regular
3,1519.42,7.34,926,2023-01-06 14:53:00,2023-09-30 12:03:00,183,266,70,Regular
1,172.9,21.61,34,2023-03-20 12:50:00,2023-03-20 12:50:00,8,0,264,At Risk
2,409.98,18.64,212,2023-03-18 08:31:00,2023-03-18 08:32:00,22,0,266,At Risk
1,279.05,21.47,143,2023-11-28 16:35:00,2023-11-28 16:35:00,13,0,10,Regular
4,1945.33,27.02,1271,2023-10-20 09:04:00,2023-11-23 08:17:00,63,33,16,Regular
1,271.2,12.91,128,2023-11-24 14:42:00,2023-11-24 14:42:00,21,0,14,Regular
1,265.2,88.4,120,2023-05-05 15:12:00,2023-05-05 15:12:00,3,0,217,At Risk
1,302.58,37.82,102,2023-01-25 14:45:00,2023-01-25 14:45:00,8,0,317,At Risk
1,178.34,4.15,138,2023-10-25 13:07:00,2023-10-25 13:07:00,43,0,44,Regular
1,256.32,5.83,167,2022-12-10 13:48:00,2022-12-10 13:48:00,41,0,363,At Risk
3,702.0,58.5,360,2023-01-18 11:51:00,2023-02-24 17:28:00,7,37,287,At Risk
1,1706.88,38.79,629,2023-08-15 14:17:00,2023-08-15 14:17:00,43,0,115,Regular
3,4628.75,16.53,4338,2023-04-11 08:16:00,2023-11-16 10:34:00,220,219,23,High Value
1,127.84,7.52,30,2023-04-03 12:08:00,2023-04-03 12:08:00,17,0,250,At Risk
1,211.32,70.44,108,2023-09-15 15:44:00,2023-09-15 15:44:00,3,0,84,Regular
1,168.0,56.0,126,2023-08-03 09:59:00,2023-08-03 09:59:00,3,0,128,Regular
1,187.05,4.35,66,2023-06-19 14:42:00,2023-06-19 14:42:00,41,0,172,Regular
2,149.64,9.98,175,2023-03-07 17:19:00,2023-03-07 17:23:00,13,0,276,At Risk
1,154.95,19.37,93,2023-03-24 11:34:00,2023-03-24 11:34:00,8,0,260,At Risk
1,307.4,19.21,72,2023-02-18 12:02:00,2023-02-18 12:02:00,16,0,294,At Risk
1,135.19,4.51,36,2023-04-12 12:16:00,2023-04-12 12:16:00,30,0,241,At Risk
1,60.7,20.23,26,2023-07-27 09:01:00,2023-07-27 09:01:00,3,0,135,Regular
1,240.89,5.74,179,2023-05-29 14:13:00,2023-05-29 14:13:00,40,0,193,At Risk
4,1037.59,17.89,533,2023-04-13 14:38:00,2023-09-06 14:32:00,45,145,93,Regular
3,710.28,19.73,328,2023-01-07 16:34:00,2023-06-07 11:39:00,31,150,185,At Risk
10,2000.86,24.7,1232,2022-12-02 12:10:00,2023-12-05 15:15:00,50,368,3,Frequent
2,643.9,6.13,378,2023-05-29 12:35:00,2023-10-10 13:38:00,86,134,59,Regular
2,752.6,17.5,488,2023-07-01 12:47:00,2023-07-27 08:35:00,38,25,135,Regular
8,3146.92,5.83,2528,2023-03-17 20:12:00,2023-11-27 15:59:00,339,254,11,VIP
5,1105.78,4.75,719,2023-01-16 16:23:00,2023-10-30 12:28:00,199,286,40,Regular
2,187.29,6.04,285,2023-07-07 14:08:00,2023-07-07 14:11:00,31,0,154,Regular
1,90.04,12.86,184,2023-12-05 15:44:00,2023-12-05 15:44:00,7,0,3,Regular
8,5859.43,7.46,2739,2022-12-12 16:14:00,2023-11-22 15:45:00,540,344,16,VIP
1,110.92,4.62,29,2023-06-29 13:10:00,2023-06-29 13:10:00,24,0,162,Regular
2,693.33,26.67,211,2023-02-04 10:38:00,2023-02-04 10:39:00,26,0,308,At Risk
2,397.29,18.92,306,2023-05-20 09:24:00,2023-07-29 14:39:00,17,70,132,Regular
6,1064.07,16.89,503,2023-01-13 10:33:00,2023-12-01 12:14:00,53,322,8,Frequent
91,60632.75,25.63,38147,2022-12-01 09:41:00,2023-12-09 12:00:00,567,373,0,VIP
1,444.68,20.21,220,2023-11-16 16:52:00,2023-11-16 16:52:00,21,0,22,Regular
9,2108.06,6.57,1242,2023-10-07 15:45:00,2023-12-06 12:26:00,232,59,3,VIP
8,1502.86,9.95,752,2022-12-08 13:07:00,2023-11-23 13:46:00,124,350,15,Frequent
2,355.73,3.87,158,2023-11-06 12:50:00,2023-11-06 13:08:00,86,0,32,Regular
1,221.97,4.44,189,2023-10-26 13:19:00,2023-10-26 13:19:00,49,0,43,Regular
2,810.57,16.89,488,2023-05-26 14:20:00,2023-09-20 12:39:00,44,116,80,Regular
1,138.6,8.15,217,2023-11-23 12:39:00,2023-11-23 12:39:00,16,0,16,Regular
4,1793.58,18.3,1059,2023-04-13 12:57:00,2023-09-15 10:35:00,94,154,85,Regular
44,51527.3,31.48,58343,2022-12-14 12:59:00,2023-12-01 13:12:00,884,352,7,VIP
1,1089.18,17.29,651,2023-08-01 10:26:00,2023-08-01 10:26:00,63,0,130,Regular
5,1422.52,14.23,1181,2023-03-15 12:52:00,2023-11-22 09:16:00,90,251,17,Regular
2,913.19,31.49,493,2023-03-30 13:39:00,2023-09-05 09:46:00,29,158,95,Regular
3,568.55,12.63,847,2023-02-01 11:30:00,2023-11-16 13:33:00,43,288,22,Regular
2,599.56,5.04,355,2023-07-11 13:35:00,2023-10-20 13:06:00,100,100,49,Regular
26,8004.92,18.15,4230,2022-12-05 10:58:00,2023-12-08 11:36:00,119,368,1,VIP
4,417.06,14.9,274,2022-12-16 17:01:00,2023-08-28 14:16:00,28,254,102,Regular
1,546.04,12.7,727,2023-11-28 14:12:00,2023-11-28 14:12:00,43,0,10,Regular
5,1581.84,6.73,1025,2023-04-04 14:17:00,2023-12-08 12:43:00,177,247,1,Regular
5,1515.9,21.97,880,2023-01-09 13:50:00,2023-11-22 10:17:00,42,316,17,Regular
1,489.6,37.66,190,2022-12-01 09:53:00,2022-12-01 09:53:00,13,0,373,At Risk
4,803.54,3.46,550,2023-03-23 15:37:00,2023-06-26 14:54:00,166,94,165,Regular
1,1340.32,25.78,560,2023-02-24 18:59:00,2023-02-24 18:59:00,52,0,287,At Risk
124,40519.84,5.28,22834,2022-12-01 14:41:00,2023-12-08 12:07:00,1323,371,1,VIP
1,124.57,15.57,33,2023-06-06 09:16:00,2023-06-06 09:16:00,8,0,186,At Risk
2,192.6,38.52,52,2023-08-04 13:25:00,2023-11-22 12:54:00,4,109,16,Regular
7,1328.35,6.58,773,2023-04-10 13:48:00,2023-11-27 10:39:00,147,230,12,Frequent
4,745.06,21.29,323,2023-04-07 11:29:00,2023-11-28 14:44:00,33,235,10,Regular
1,175.27,6.04,123,2023-04-17 13:18:00,2023-04-17 13:18:00,28,0,235,At Risk
6,2059.45,38.14,1230,2022-12-06 15:03:00,2023-09-29 18:18:00,40,297,70,VIP
5,920.51,57.53,679,2022-12-08 15:58:00,2023-11-13 12:38:00,14,339,26,Regular
3,12601.83,48.28,2803,2023-10-11 14:52:00,2023-10-27 14:20:00,260,15,42,High Value
4,420.3,46.7,162,2023-03-09 08:59:00,2023-11-29 13:41:00,3,265,9,Regular
2,1020.42,17.01,452,2023-10-19 08:20:00,2023-12-01 09:20:00,53,43,8,Regular
1,139.35,23.22,83,2023-04-21 13:39:00,2023-04-21 13:39:00,6,0,231,At Risk
3,990.2,14.35,564,2023-01-12 15:22:00,2023-10-09 16:05:00,65,270,60,Regular
1,606.05,13.77,407,2022-12-05 13:03:00,2022-12-05 13:03:00,41,0,368,At Risk
3,648.89,7.55,420,2023-07-05 13:06:00,2023-11-17 14:02:00,82,135,21,Regular
2,584.07,18.84,345,2023-04-03 15:50:00,2023-12-02 13:58:00,30,242,6,Regular
4,517.53,8.48,243,2022-12-15 10:54:00,2023-05-31 13:58:00,57,167,191,At Risk
2,664.26,10.06,333,2023-02-23 13:37:00,2023-10-26 11:36:00,61,244,44,Regular
3,675.6,9.65,198,2022-12-09 09:34:00,2023-07-31 14:39:00,68,234,130,Regular
1,459.4,35.34,240,2023-05-09 13:49:00,2023-05-09 13:49:00,13,0,213,At Risk
5,404.58,22.48,240,2023-01-20 10:11:00,2023-08-19 12:56:00,13,211,111,Regular
1,417.2,10.18,216,2023-03-01 15:16:00,2023-03-01 15:16:00,39,0,282,At Risk
8,984.91,12.96,945,2022-12-02 13:11:00,2023-11-18 12:02:00,66,350,21,Frequent
2,280.55,17.53,123,2023-01-18 08:53:00,2023-04-19 11:46:00,13,91,234,At Risk
1,548.12,10.15,250,2023-08-21 15:54:00,2023-08-21 15:54:00,49,0,109,Regular
1,158.68,15.87,100,2023-02-28 16:39:00,2023-02-28 16:39:00,10,0,283,At Risk
1,229.64,15.31,164,2023-10-26 09:54:00,2023-10-26 09:54:00,15,0,44,Regular
1,133.56,26.71,88,2023-06-01 13:40:00,2023-06-01 13:40:00,5,0,190,At Risk
10,3945.0,17.0,3112,2023-06-15 15:57:00,2023-11-28 10:29:00,149,165,11,VIP
5,981.51,5.88,636,2023-01-23 12:07:00,2023-11-16 13:24:00,123,297,22,Regular
3,635.41,20.5,330,2023-05-17 10:23:00,2023-11-21 08:37:00,25,187,18,Regular
1,224.14,9.75,454,2023-09-29 11:31:00,2023-09-29 11:31:00,23,0,71,Regular
1,110.46,15.78,90,2023-11-18 10:42:00,2023-11-18 10:42:00,7,0,21,Regular
1,116.01,12.89,103,2023-04-14 18:02:00,2023-04-14 18:02:00,9,0,238,At Risk
2,2794.51,24.51,1196,2023-01-13 15:34:00,2023-11-18 13:30:00,111,308,20,High Value
4,1425.67,5.26,876,2023-02-14 15:15:00,2023-10-20 15:57:00,247,248,49,Regular
2,698.41,26.86,459,2023-05-06 09:14:00,2023-10-24 13:36:00,26,171,45,Regular
2,272.04,15.11,228,2023-06-01 12:46:00,2023-10-21 09:56:00,16,141,49,Regular
3,2720.63,16.39,1628,2023-09-22 15:40:00,2023-11-29 12:47:00,159,67,10,High Value
3,1837.28,26.25,1586,2023-05-22 10:39:00,2023-10-28 09:29:00,59,158,42,Regular
3,2103.06,11.68,766,2023-03-23 12:15:00,2023-07-14 17:11:00,173,113,147,High Value
3,1174.58,22.16,311,2023-09-19 12:01:00,2023-11-16 11:52:00,47,57,23,Regular
2,804.02,17.11,511,2023-06-06 13:18:00,2023-08-09 10:19:00,39,63,122,Regular
1,205.48,5.55,113,2023-02-09 15:33:00,2023-02-09 15:33:00,36,0,302,At Risk
2,1135.04,28.38,611,2023-06-12 13:04:00,2023-08-23 14:55:00,30,72,107,Regular
3,1126.85,18.78,648,2023-01-25 15:13:00,2023-09-22 16:34:00,57,240,77,Regular
4,4067.29,21.29,1553,2023-06-05 15:37:00,2023-11-17 13:46:00,118,164,21,High Value
2,416.08,18.91,216,2023-02-17 13:57:00,2023-07-05 12:11:00,17,137,157,Regular
3,1213.16,19.89,1468,2023-04-01 11:48:00,2023-11-14 09:00:00,59,226,25,Regular
